Ajtók száma,Body Type,CO2-kibocsátás,Csomagtér térfogata,Dimensions and Weight,Első terepszög,Engine and Transmission,Equipment,Fordulási kör átmérője,General Information,Gumiméret,Gyorsulás 0-ról 100 km/h-ra,Gyártási időszak,Hajtás,Hasmagasság,Hasznos teher,Hengerek száma,Hengerelrendezés,Hengerűrtartalom,Hosszúság,Hátsó terepszög,Kategória,Kivitel,Környezetvédelmi osztály,Magasság,Maximális forgatónyomaték,Maximális teljesítmény,Országúti fogyasztás,Performance,Rámpaszög,Saját tömeg,Sebességváltó,Szállítható személyek száma,Szélesség,Tengelytáv,Vegyes fogyasztás,Városi fogyasztás,Végsebesség,Össztömeg,Újkori ára,Üzemanyag,Üzemanyagtank
4 ajtó,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1977-1982,Első kerék,Not available,Not available,5 henger,Soros,2 119 cm³,Not available,Not available,Felső középkategória,Sedan,Not available,Not available,Not available,"85 kW, 116 LE",Not available,Not available,Not available,Not available,Manuális (4 fokozatú) sebességváltó,5 fő,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
4 ajtó,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,165/82 SR14,Not available,1981-1982,Első kerék,Not available,460 kg,5 henger,Soros,1 921 cm³,Not available,Not available,Felső középkategória,Sedan,Not available,Not available,Not available,"74 kW, 101 LE",Not available,Not available,Not available,1 170 kg,Manuális (4 fokozatú) sebességváltó,5 fő,Not available,Not available,Not available,Not available,Not available,1 630 kg,Not available,Benzin,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,2006–,Hátsó kerék,Not available,Not available,8 henger,Not available,6 761 cm³,Not available,Not available,Not available,Coupe,Not available,Not available,Not available,"373 kW, 507 LE",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
4 ajtó,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1999-2001,Hátsó kerék,Not available,Not available,8 henger,Not available,4 398 cm³,Not available,Not available,Not available,Lépcsőshátú,Not available,Not available,Not available,"261 kW, 355 LE",Not available,Not available,Not available,Not available,Automata sebességváltó,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Benzin,Not available
5 ajtó,Not available,176 g/km,330 l,Not available,Not available,Not available,"Biztonsági övek, hátul: hárompontos, Biztonsági övfeszítő rendszer, Csomagtérfedél távirányítás, Elektromos ablakemelők elöl, Fejtámlák elöl-hátul [5 db],, Fékrendszer: blokkolásgátló fékrendszer [ABS], , Fényszóró-távolságállítás belülről, elektromos, Fordulatszámmérő, Hátsó ablaktörlő berendezés, Indításblokkolás, Információs rendszer: fedélzeti számítógép, Járműstabilitás ellenőrzése: DSC, Kárpit: szövet,, Keréknyomás ellenőrző rendszer, , T, elektronikus, Kormánykerék: magasság-és távolságállítású, Központizár távirányítással, Külső hőmérsékletmérő, Külső visszapillantó tükrök a karosszéria színében, Külső visszapillantó tükrök elektromosan állíthatók, Légkondícionáló berendezés [AC],, Légzsák a vezető-és utasoldalon, fej-és oldallégzsákok elöl, , Műszerfal betétek: ezüst, Nem dohányzó csomag, Pótféklámpa [harmadik féklámpa], Rádió-magnó: BMW Business RDS,, Riasztóberendezés, , Sebességváltómű: 5 fokozatú mechanikus, Szélvédőüveg: ragasztott, Szépítkezőtükör a vezető és az utasoldalon,, Szervokormánymű, , Színezett üvegek: fény és hővédő, Ülések hátul: lehajtható és osztható, Ülések: állítható magasságú vezetőülés, Vészhárítók a karosszéria színében, Világítás: fehér irányjelzők, ködfényszórók elöl, ködzárófény [ködlámpa] hátul",11 m,Not available,195/55 R16 87,"10,8 s",2005-2007,Hátsó kerék,Not available,500 kg,4 henger,Soros,1 596 cm³,4 227 mm,Not available,Alsó középkategória,Ferdehátú,EURO 4,1 430 mm,150 Nm,"85 kW, 116 LE","5,9 l/100km",Not available,Not available,1 205 kg,Manuális (5 fokozatú) sebességváltó,5 fő,1 751 mm,2 660 mm,"7,5 l/100km","10,5 l/100km",200 km/h,1 705 kg,5 615 000 Ft,Benzin,50 l
5 ajtó,Not available,183 g/km,330 l,Not available,Not available,Not available,"Biztonsági övek, hátul: hárompontos, Biztonsági övfeszítő rendszer, Csomagtérfedél távirányítás, Elektromos ablakemelők elöl, Fejtámlák elöl-hátul [5 db],, Fékrendszer: blokkolásgátló fékrendszer [ABS], , Fényszóró-távolságállítás belülről, elektromos, Fordulatszámmérő, Hátsó ablaktörlő berendezés, Indításblokkolás, Információs rendszer: fedélzeti számítógép, Járműstabilitás ellenőrzése: DSC, Kárpit: szövet,, Keréknyomás ellenőrző rendszer, , T, elektronikus, Kormánykerék: magasság-és távolságállítású, Központizár távirányítással, Külső hőmérsékletmérő, Külső visszapillantó tükrök a karosszéria színében, Külső visszapillantó tükrök elektromosan állíthatók,, Légzsák a vezető-és utasoldalon, fej-és oldallégzsákok elöl, , Műszerfal betétek: ezüst, Nem dohányzó csomag, Pótféklámpa [harmadik féklámpa],, Riasztóberendezés, , Sebességváltómű: 6 fokozatú automata kézi kapcsolási lehetőséggel, Szélvédőüveg: ragasztott, Szépítkezőtükör a vezető és az utasoldalon,, Szervokormánymű, , Színezett üvegek: fény és hővédő, Ülések hátul: lehajtható és osztható, Ülések: állítható magasságú vezetőülés, Vészhárítók a karosszéria színében, Világítás: fehér irányjelzők, ködzárófény [ködlámpa] hátul",11 m,Not available,195/55 R16 87,"10,1 s",2005-2007,Hátsó kerék,Not available,500 kg,4 henger,Soros,1 995 cm³,4 227 mm,Not available,Alsó középkategória,Ferdehátú,EURO 4,1 430 mm,180 Nm,"95 kW, 129 LE","6,1 l/100km",Not available,Not available,1 260 kg,Automata (6 fokozatú tiptronic) sebességváltó,5 fő,1 751 mm,2 660 mm,"7,8 l/100km","10,7 l/100km",204 km/h,1 760 kg,7 119 500 Ft,Benzin,50 l
