Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
3 doors,Non disponibile,Non disponibile,320 l,Non disponibile,Non disponibile,Non disponibile,"Interior exterior mirrors [2 pcs], Power windows [2 pcs], Head restraints [4 pcs], Tachometer, Rear wiper washer system, Rear seat, divisional, Ignition lock,, Catalyst,, Central locking,, Airbag [1 pc],, Mechanical transmission, 5-speed,, Mechanical Steering Wheel,,, Tinted Glazing",Non disponibile,175/65 R14,12.5 seconds,1994-1997,Non disponibile,Front wheel,Non disponibile,530 kg,4 cylinders,Boxer,"1,351 cm³",4 093 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.427 mm,115 Nm,"66 kW, 90 HP",Non disponibile,Non disponibile,Non disponibile,1 140 kg,Manual (5-speed) transmission,5 persons,"1,712 mm",2 540 mm,Non disponibile,Non disponibile,178 km/h,1 670 kg,Non disponibile,Gasoline,51 l
3 doors,Non disponibile,189 g/km,320 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/60 R14 82 H,11.2 seconds,1997-1999,Non disponibile,Front wheel,Non disponibile,445 kg,4 cylinders,Soros,"1,370 cm³",4 093 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.427 mm,124 Nm,"76 kW, 103 hp",6.3 l/100km,Non disponibile,Non disponibile,"1,210 kg",Manual (5-speed) transmission,5 persons,"1,712 mm",2 540 mm,"7,9 l/100km",10.7 l/100km,185 km/h,1 655 kg,Non disponibile,Gasoline,51 l
3 doors,Non disponibile,Non disponibile,320 l,Non disponibile,Non disponibile,Non disponibile,"Electric windows [2 pcs], Power windows [2 pcs], Power windows [2 pcs], Headrests [4 pcs], Tachometer, Rear wiper washer system, Rear seat, divisible, Ignition lock,, Catalytic converter,, Fog lights front [2 pcs], Central locking,, Airbag [1 pc],, Mechanical transmission, 5-speed,, Power steering,,, Tinted glazing",Non disponibile,185/60 R14 82 H,11.0 seconds,1994-1997,Non disponibile,Front wheel,Non disponibile,530 kg,4 cylinders,Boxer,"1,596 cm³",4 093 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.427 mm,134 Nm,"76 kW, 103 hp",Non disponibile,Non disponibile,Non disponibile,1 140 kg,Manual (5-speed) transmission,5 persons,"1,712 mm",2 540 mm,Non disponibile,Non disponibile,185 km/h,1 670 kg,2 650 000 HUF,Gasoline,51 l
3 doors,Non disponibile,196 g/km,320 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/60 R14 82 H,10.2 seconds,1997-1999,Non disponibile,Front wheel,Non disponibile,445 kg,4 cylinders,Soros,"1,598 cm³",4 093 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.427 mm,144 Nm,"88 kW, 120 HP","6,5 l/100km",Non disponibile,Non disponibile,1 260 kg,Manual (5-speed) transmission,5 persons,"1,712 mm",2 540 mm,"8,2 l/100km","11,1 l/100km",195 km/h,1 705 kg,Non disponibile,Gasoline,51 l
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1977-1982,Non disponibile,Front wheel,Non disponibile,Non disponibile,5 cylinders,Soros,"2,119 cm³",Non disponibile,Non disponibile,Upper-middle class,Sedan,Non disponibile,Non disponibile,Non disponibile,"85 kW, 116 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,165/82 SR14,Non disponibile,1981-1982,Non disponibile,Front wheel,Non disponibile,460 kg,5 cylinders,Soros,"1,921 cm³",Non disponibile,Non disponibile,Upper-middle class,Sedan,Non disponibile,Non disponibile,Non disponibile,"74 kW, 101 HP",Non disponibile,Non disponibile,Non disponibile,1 170 kg,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1 630 kg,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/70 HR14,Non disponibile,1981-1982,Non disponibile,Front wheel,Non disponibile,460 kg,5 cylinders,Soros,"2,144 cm³",Non disponibile,Non disponibile,Upper-middle class,Sedan,Non disponibile,Non disponibile,Non disponibile,"100 kW, 136 HP",Non disponibile,Non disponibile,Non disponibile,1 180 kg,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1 640 kg,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/70 SR14,Non disponibile,1982.,Non disponibile,Front wheel,Non disponibile,420 kg,5 cylinders,Soros,"1,986 cm³",Non disponibile,Non disponibile,Upper-middle class,Sedan,Non disponibile,Non disponibile,Non disponibile,"51 kW, 69 HP",Non disponibile,Non disponibile,Non disponibile,880 kg,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"1,300 kg",Non disponibile,Diesel,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1999—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,VOLTS,"6,750 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"298 kW, 405 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Automatic (4-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2002-2005,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,Non disponibile,"6,747 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"313 kW, 426 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
